
                     X                   AVERAGE_SDV3     

                   0.                       0.            
                   1.00003564             273.018066      
                   2.00002122               3.3191762E+03 
                   3.00000691               3.32326722E+03
                   4.00004244               3.3313539E+03 
                   5.00002766               3.33775043E+03
                   6.00001335               3.34150743E+03
                   7.00004864               3.34361768E+03
                   8.00003433               3.34489822E+03
                   9.00001907               3.34571266E+03
                  10.0000048                3.34624982E+03
                  11.0000401                3.34660959E+03
                  12.0000257                3.34685183E+03
                  13.0000105                3.34701514E+03
                  14.0000458                3.34712338E+03
                  15.0000305                3.34719563E+03
                  16.0000153                3.34724259E+03
                  17.0000019                3.34727359E+03
                  18.0000362                3.34729433E+03
                  19.000021                 3.34730697E+03
                  20.0000057                3.34731603E+03
                  21.0000401                3.34732056E+03
                  22.0000267                3.34732389E+03
                  23.0000114                3.34732628E+03
                  24.0000458                3.34732795E+03
                  25.0000305                3.34732842E+03
                  26.0000153                3.34732866E+03
                  27.0000496                3.34732866E+03
                  28.0000343                3.34732985E+03
                  29.0000191                3.34732985E+03
                  30.0000038                3.34732985E+03
                  31.0000381                3.34732985E+03
                  32.0000229                3.34732985E+03
                  33.0000076                3.34732985E+03
                  34.000042                 3.34732985E+03
                  35.0000267                3.34732985E+03
                  36.0000114                3.34732985E+03
                  37.0000458                3.34732985E+03
                  38.0000305                3.34732985E+03
                  39.0000153                3.34732985E+03
                  40.0000496                3.34732985E+03
                  41.0000343                3.34732985E+03
                  42.0000191                3.34732985E+03
                  43.                       3.34732985E+03
                  44.0000343                3.34732985E+03
                  45.0000191                3.34732985E+03
                  46.0000038                3.34732985E+03
                  47.0000381                3.34732985E+03
                  48.0000229                3.34732985E+03
                  49.0000076                3.34732985E+03
                  50.000042                 3.34732985E+03
                  51.0000267                3.34732985E+03
                  52.0000076                3.34732985E+03
                  53.000042                 3.34732985E+03
                  54.0000267                3.34732985E+03
                  55.0000114                3.34732985E+03
                  56.0000458                3.34732985E+03
                  57.0000305                3.34732985E+03
                  58.0000114                3.34732985E+03
                  59.0000458                3.34732985E+03
                  60.0000305                3.34732985E+03
                  61.0000153                3.34732985E+03
                  62.0000496                3.34732985E+03
                  63.0000305                3.34732985E+03
                  64.0000153                3.34732985E+03
                  65.0000534                3.34732985E+03
                  66.0000305                3.34732985E+03
                  67.0000153                3.34732985E+03
                  68.                       3.34732985E+03
                  69.0000381                3.34732985E+03
                  70.0000153                3.34732985E+03
                  71.                       3.34732985E+03
                  72.0000381                3.34732985E+03
                  73.0000229                3.34732985E+03
                  74.                       3.34732985E+03
                  75.0000381                3.34732985E+03
                  76.0000229                3.34732985E+03
                  77.                       3.34732985E+03
                  78.0000381                3.34732985E+03
                  79.0000229                3.34732985E+03
                  80.0000076                3.34732985E+03
                  81.0000381                3.34732985E+03
                  82.0000229                3.34732985E+03
                  83.0000076                3.34732985E+03
                  84.0000381                3.34732985E+03
                  85.0000229                3.34732985E+03
                  86.0000076                3.34732985E+03
                  87.0000381                3.34732985E+03
                  88.0000229                3.34732985E+03
                  89.0000076                3.34732985E+03
                  90.0000381                3.34732985E+03
                  91.0000229                3.34732985E+03
                  92.0000076                3.34732985E+03
                  93.0000381                3.34732985E+03
                  94.0000229                3.34732985E+03
                  95.                       3.34732985E+03
                  96.0000381                3.34732985E+03
                  97.0000229                3.34732985E+03
                  98.                       3.34732985E+03
                  99.0000381                3.34732985E+03
                 100.                       3.34732985E+03




