
                             %_LE:LE12 PI: PART                   
                             %-1-1 E: 1 Centroi  _S:S12 PI: PART-1
                 % X                  d           -1 E: 1 Centroid

                0.                 0.                 0.         
               50.0081E-03        74.9826E-06         5.77069    
              100.001E-03        150.017E-06         11.5404     
              150.005E-03        225.06E-06          17.3113     
              200.008E-03        300.117E-06         23.0822     
              250.002E-03        375.107E-06         28.8519     
              300.01E-03         450.015E-06         34.6104     
              350.007E-03        524.938E-06         40.3625     
              400.005E-03        599.712E-06         46.1147     
              450.003E-03        674.583E-06         51.8668     
              500.001E-03        749.379E-06         57.6189     
              550.009E-03        824.22E-06          63.3722     
              600.006E-03        899.121E-06         69.1243     
              650.004E-03        973.925E-06         74.8765     
              700.002E-03          1.04886E-03       80.6286     
              750.01E-03           1.12395E-03       86.3819     
              800.008E-03          1.19885E-03       92.134      
              850.005E-03          1.27383E-03       97.8861     
              900.003E-03          1.34891E-03      103.638      
              950.001E-03          1.4238E-03       109.39       
                1.00001            1.49886E-03      115.144      
                1.05001            1.57377E-03      120.896      
                1.1                1.64878E-03      126.648      
                1.15               1.72375E-03      132.429      
                1.2                1.79878E-03      138.219      
                1.25001            1.87375E-03      144.011      
                1.30001            1.94875E-03      144.342      
                1.35               2.0238E-03       144.347      
                1.4                2.09865E-03      144.352      
                1.45001            2.17375E-03      144.357      
                1.50001            2.24872E-03      144.362      
                1.55               2.32367E-03      144.367      
                1.6                2.39866E-03      144.372      
                1.65               2.47365E-03      144.377      
                1.70001            2.54862E-03      144.382      
                1.75001            2.62363E-03      144.387      
                1.8                2.69855E-03      144.392      
                1.85               2.77361E-03      144.397      
                1.90001            2.84849E-03      144.402      
                1.95001            2.92358E-03      144.407      
                2.00001            2.99854E-03      144.412      
                2.05               3.07356E-03      144.417      
                2.1                3.14848E-03      144.422      
                2.15001            3.22351E-03      144.427      
                2.20001            3.29849E-03      144.432      
                2.25               3.37353E-03      144.437      
                2.3                3.44846E-03      144.442      
                2.35001            3.5234E-03       144.447      
                2.40001            3.59837E-03      144.452      
                2.45001            3.67335E-03      144.457      
                2.5                3.74839E-03      144.462      
                2.55               3.82343E-03      144.467      
                2.60001            3.89845E-03      144.472      
                2.65001            3.97282E-03      144.477      
                2.7                4.04723E-03      144.482      
                2.75               4.12162E-03      144.487      
                2.8                4.19609E-03      144.492      
                2.85001            4.27051E-03      144.497      
                2.90001            4.34487E-03      144.502      
                2.95               4.41919E-03      144.507      
                3.                 4.49359E-03      144.512      
                3.05001            4.56802E-03      144.517      
                3.10001            4.64249E-03      144.522      
                3.15               4.71696E-03      144.527      
                3.2                4.79124E-03      144.532      
                3.25               4.8657E-03       144.537      
                3.30001            4.94007E-03      144.542      
                3.35001            5.01456E-03      144.547      
                3.4                5.08883E-03      144.552      
                3.45               5.1633E-03       144.557      
                3.50001            5.23765E-03      144.562      
                3.55001            5.31208E-03      144.567      
                3.6                5.38654E-03      144.572      
                3.65               5.46094E-03      144.577      
                3.7                5.53528E-03      144.582      
                3.75001            5.60971E-03      144.587      
                3.80001            5.68416E-03      144.592      
                3.85               5.75851E-03      144.597      
                3.9                5.83294E-03      144.602      
                3.95001            5.90735E-03      144.607      
                4.00001            5.98171E-03      144.612      
                4.05               6.05606E-03      144.617      
                4.1                6.13055E-03      144.622      
                4.15               6.205E-03        144.627      
                4.20001            6.27943E-03      144.632      
                4.25001            6.35374E-03      144.637      
                4.3                6.4282E-03       144.641      
                4.35               6.50263E-03      144.646      
                4.40001            6.57691E-03      144.651      
                4.45001            6.65129E-03      144.656      
                4.50001            6.72574E-03      144.661      
                4.55               6.80017E-03      144.666      
                4.6                6.8746E-03       144.671      
                4.65001            6.94895E-03      144.676      
                4.70001            7.02344E-03      144.681      
                4.75               7.09777E-03      144.686      
                4.8                7.17214E-03      144.691      
                4.85               7.24661E-03      144.696      
                4.90001            7.32105E-03      144.701      
                4.95001            7.39536E-03      144.706      
                5.                 7.4698E-03       144.711      
                5.05               7.54416E-03      144.716      
                5.10001            7.61865E-03      144.721      
                5.15001            7.69304E-03      144.726      
                5.2                7.76736E-03      144.731      
                5.25               7.8418E-03       144.736      
                5.3                7.91625E-03      144.741      
                5.35001            7.99057E-03      144.746      
                5.40001            8.06511E-03      144.751      
                5.45               8.13943E-03      144.756      
                5.5                8.21383E-03      144.761      
                5.55001            8.28828E-03      144.766      
                5.60001            8.36264E-03      144.771      
                5.65               8.43705E-03      144.776      
                5.7                8.51144E-03      144.781      
                5.75               8.58581E-03      144.786      
                5.80001            8.66027E-03      144.791      
                5.85001            8.73465E-03      144.796      
                5.9                8.80905E-03      144.801      
                5.95               8.88342E-03      144.806      
                6.00001            8.95778E-03      144.811      
                6.05001            9.03225E-03      144.816      
                6.10001            9.10669E-03      144.821      
                6.15               9.18102E-03      144.826      
                6.2                9.25546E-03      144.831      
                6.25001            9.32984E-03      144.836      
                6.30001            9.40427E-03      144.841      
                6.35               9.4787E-03       144.846      
                6.4                9.55304E-03      144.852      
                6.45               9.62742E-03      144.857      
                6.50001            9.70182E-03      144.862      
                6.55001            9.77621E-03      144.867      
                6.6                9.85073E-03      144.872      
                6.65               9.92507E-03      144.877      
                6.70001            9.99947E-03      144.882      
                6.75001           10.0739E-03       144.887      
                6.8               10.1482E-03       144.892      
                6.85              10.2227E-03       144.897      
                6.9               10.2971E-03       144.902      
                6.95001           10.3714E-03       144.907      
                7.00001           10.4458E-03       144.912      
                7.05              10.5203E-03       144.918      
                7.1               10.5947E-03       144.923      
                7.15001           10.6691E-03       144.928      
                7.20001           10.7435E-03       144.933      
                7.25              10.8179E-03       144.938      
                7.3               10.8922E-03       144.943      
                7.35              10.9667E-03       144.948      
                7.40001           11.041E-03        144.953      
                7.45001           11.1155E-03       144.958      
                7.5               11.1899E-03       144.963      
                7.55              11.2643E-03       144.968      
                7.60001           11.3386E-03       144.973      
                7.65001           11.4132E-03       144.978      
                7.70001           11.4875E-03       144.984      
                7.75              11.5618E-03       144.989      
                7.8               11.6362E-03       144.994      
                7.85001           11.7107E-03       144.999      
                7.90001           11.785E-03        145.004      
                7.95              11.8595E-03       145.009      
                8.                11.9338E-03       145.014      
                8.05              12.012E-03        145.019      
                8.1               12.0901E-03       145.025      
                8.15001           12.1682E-03       145.03       
                8.20001           12.2464E-03       145.035      
                8.25001           12.3245E-03       145.041      
                8.30001           12.4026E-03       145.046      
                8.35              12.4807E-03       145.051      
                8.4               12.5589E-03       145.057      
                8.45              12.6369E-03       145.062      
                8.5               12.715E-03        145.067      
                8.55              12.7932E-03       145.073      
                8.60001           12.8714E-03       145.078      
                8.65001           12.9494E-03       145.083      
                8.70001           13.0276E-03       145.089      
                8.75              13.1057E-03       145.094      
                8.8               13.1837E-03       145.099      
                8.85              13.2619E-03       145.105      
                8.9               13.34E-03         145.11       
                8.95              13.4181E-03       145.115      
                9.00001           13.4962E-03       145.121      
                9.05001           13.5743E-03       145.126      
                9.10001           13.6525E-03       145.131      
                9.15              13.7306E-03       145.137      
                9.2               13.8088E-03       145.142      
                9.25              13.8869E-03       145.147      
                9.3               13.965E-03        145.153      
                9.35              14.043E-03        145.158      
                9.40001           14.1211E-03       145.163      
                9.45001           14.1993E-03       145.169      
                9.50001           14.2774E-03       145.174      
                9.55001           14.3556E-03       145.179      
                9.6               14.4337E-03       145.185      
                9.65              14.5117E-03       145.19       
                9.7               14.5899E-03       145.195      
                9.75              14.668E-03        145.201      
                9.8               14.7462E-03       145.206      
                9.85001           14.8242E-03       145.211      
                9.90001           14.9023E-03       145.217      
                9.95001           14.9805E-03       145.222      
               10.                15.0586E-03       145.227      
               10.05              15.1367E-03       145.233      
               10.1               15.2148E-03       145.238      
               10.15              15.2929E-03       145.243      
               10.2               15.371E-03        145.248      
               10.25              15.4491E-03       145.253      
               10.3               15.5273E-03       145.258      
               10.35              15.6054E-03       145.263      
               10.4               15.6835E-03       145.268      
               10.45              15.7616E-03       145.274      
               10.5               15.8398E-03       145.279      
               10.55              15.9179E-03       145.284      
               10.6               15.996E-03        145.289      
               10.65              16.0741E-03       145.294      
               10.7               16.1523E-03       145.299      
               10.75              16.2303E-03       145.304      
               10.8               16.3084E-03       145.309      
               10.85              16.3865E-03       145.314      
               10.9               16.4647E-03       145.319      
               10.95              16.5428E-03       145.324      
               11.                16.6209E-03       145.329      
               11.05              16.699E-03        145.334      
               11.1               16.777E-03        145.339      
               11.15              16.8552E-03       145.345      
               11.2               16.9334E-03       145.35       
               11.25              17.0115E-03       145.355      
               11.3               17.0895E-03       145.36       
